Date,MC.PA,OR.PA,SAN.PA,AIR.PA,AI.PA,EL.PA,SU.PA,KER.PA,BNP.PA,DG.PA,CS.PA,DSY.PA,RI.PA,SAF.PA,STLAP.PA,BN.PA,ORA.PA,CAP.PA,ENGI.PA,STMPA.PA,ACA.PA,SGO.PA,LR.PA,ML.PA,GLE.PA,VIE.PA,CA.PA,EN.PA,RNO.PA,AC.PA
2021-05-03,630.5999755859375,345.6000061035156,86.21898651123047,99.91000366210938,127.78181457519531,136.36944580078125,134.6999969482422,675.2999877929688,53.459999084472656,92.33999633789062,23.90999984741211,38.59000015258789,172.5,124.76000213623047,14.027999877929688,59.45000076293945,10.380000114440918,152.60000610351562,12.447999954223633,30.700000762939453,12.89799976348877,52.77000045776367,81.63999938964844,30.237499237060547,23.729999542236328,25.43484115600586,16.174999237060547,35.97999954223633,34.119998931884766,33.63999938964844
2021-05-04,618.9000244140625,341.3500061035156,86.37811279296875,96.7300033569336,127.12727355957031,135.01905822753906,131.6999969482422,673.5999755859375,53.04999923706055,93.66999816894531,23.69499969482422,37.400001525878906,172.5500030517578,122.81999969482422,13.90999984741211,59.02000045776367,10.442000389099121,150.5500030517578,12.402000427246094,30.05500030517578,12.75,53.08000183105469,81.04000091552734,29.912500381469727,23.200000762939453,25.068456649780273,16.040000915527344,34.220001220703125,33.43000030517578,33.5
2021-05-05,631.7999877929688,346.0,84.1303939819336,96.56999969482422,128.38182067871094,136.05630493164062,134.5399932861328,686.0,54.900001525878906,94.37999725341797,23.774999618530273,37.86000061035156,173.5500030517578,122.54000091552734,14.887999534606934,59.11000061035156,10.446000099182129,151.9499969482422,12.38599967956543,30.7450008392334,12.998000144958496,55.70000076293945,82.63999938964844,30.225000381469727,23.635000228881836,24.817771911621094,16.2549991607666,34.689998626708984,34.474998474121094,33.54999923706055
2021-05-06,625.2999877929688,347.6499938964844,83.84197235107422,96.75,130.1999969482422,136.27159118652344,134.17999267578125,690.2999877929688,54.90999984741211,95.08000183105469,24.15999984741211,37.40999984741211,174.35000610351562,123.30000305175781,14.918000221252441,58.9900016784668,10.494000434875488,153.39999389648438,12.529999732971191,30.084999084472656,13.088000297546387,56.189998626708984,85.58000183105469,30.450000762939453,24.924999237060547,25.164873123168945,16.55500030517578,35.11000061035156,34.38999938964844,33.15999984741211
2021-05-07,631.4000244140625,349.8999938964844,84.97577667236328,98.37000274658203,130.25454711914062,137.68067932128906,134.9600067138672,695.0999755859375,54.779998779296875,95.69000244140625,22.729999542236328,37.709999084472656,174.14999389648438,125.19999694824219,14.944000244140625,59.15999984741211,10.482000350952148,155.10000610351562,12.612000465393066,30.940000534057617,12.869999885559082,56.380001068115234,85.76000213623047,30.924999237060547,24.90999984741211,25.36734962463379,16.520000457763672,35.06999969482422,34.150001525878906,33.470001220703125
2021-05-10,625.0,352.3999938964844,85.90072631835938,98.36000061035156,130.27272033691406,136.8587188720703,130.9199981689453,704.4000244140625,55.81999969482422,94.80000305175781,23.045000076293945,37.119998931884766,174.10000610351562,125.76000213623047,15.100000381469727,57.58000183105469,10.600000381469727,154.64999389648438,12.649999618530273,30.149999618530273,13.37600040435791,56.02000045776367,85.22000122070312,31.049999237060547,25.635000228881836,24.78884506225586,16.809999465942383,35.40999984741211,35.345001220703125,33.13999938964844
2021-05-11,612.2999877929688,346.3999938964844,84.6873550415039,95.9000015258789,128.29090881347656,134.94076538085938,129.02000427246094,693.5999755859375,55.79999923706055,92.73999786376953,22.56999969482422,36.91999816894531,170.89999389648438,122.5,14.645999908447266,55.97999954223633,10.354000091552734,151.25,12.184000015258789,29.18000030517578,13.206000328063965,54.880001068115234,84.0199966430664,30.725000381469727,25.25,24.239267349243164,16.559999465942383,34.79999923706055,33.06999969482422,32.11000061035156
2021-05-12,610.2000122070312,346.29998779296875,85.5327377319336,96.55999755859375,127.76363372802734,134.99948120117188,127.86000061035156,693.5,56.599998474121094,94.16999816894531,22.69499969482422,36.38999938964844,172.89999389648438,121.41999816894531,14.723999977111816,56.7599983215332,10.484000205993652,150.39999389648438,12.246000289916992,28.530000686645508,13.407999992370605,54.97999954223633,84.81999969482422,30.700000762939453,25.774999618530273,24.518878936767578,16.885000228881836,35.0,32.654998779296875,31.65999984741211
2021-05-13,616.0,350.1499938964844,86.12947082519531,96.0,128.5454559326172,135.17562866210938,127.87999725341797,696.0,56.060001373291016,93.44000244140625,22.559999465942383,36.81999969482422,173.64999389648438,119.95999908447266,14.633999824523926,57.70000076293945,10.477999687194824,151.8000030517578,12.406000137329102,28.889999389648438,13.22599983215332,54.7400016784668,85.19999694824219,30.625,25.700000762939453,24.702070236206055,16.940000534057617,34.279998779296875,32.349998474121094,31.489999771118164
2021-05-14,628.0999755859375,352.3500061035156,86.24882507324219,99.56999969482422,129.18182373046875,136.87828063964844,131.44000244140625,706.9000244140625,57.040000915527344,95.41000366210938,22.875,37.029998779296875,175.35000610351562,124.54000091552734,14.857999801635742,57.54999923706055,10.557999610900879,154.0500030517578,12.684000015258789,29.174999237060547,13.326000213623047,55.61000061035156,86.66000366210938,31.037500381469727,26.100000381469727,25.164873123168945,17.049999237060547,34.56999969482422,33.404998779296875,32.36000061035156
